ADDRESS,REQUEST DATE,COMPLETION DATE,NUMBER OF POTHOLES FILLED ON BLOCK,LATITUDE,LONGITUDE,LOCATION
1300 W 15TH ST,02/21/2022 10:53:26 AM,02/21/2022 10:54:27 AM,4,41.861657126,-87.659227572,POINT (-87.659227571608 41.861657125923)
1500 S STATE ST,02/21/2022 10:55:43 AM,02/21/2022 10:56:15 AM,17,41.861956209,-87.627782234,POINT (-87.627782234007 41.86195620922)
611 S WELLS ST,02/19/2022 10:05:10 AM,02/21/2022 10:58:38 AM,7,41.874489058,-87.633634579,POINT (-87.633634578745 41.874489058464)
10814 S SANGAMON ST,02/17/2022 11:50:54 AM,02/21/2022 10:58:45 AM,18,41.697299784,-87.646512573,POINT (-87.646512572501 41.697299784026)
1000 S CANAL ST,02/18/2022 11:55:09 AM,02/21/2022 10:59:06 AM,5,41.869683468,-87.639390037,POINT (-87.639390037082 41.869683468421)
3100 S WESTERN AVE,02/16/2022 08:41:45 AM,02/21/2022 10:59:34 AM,4,41.837748144,-87.685104049,POINT (-87.685104049051 41.837748143534)
1230 W 105TH ST,02/18/2022 11:30:22 AM,02/21/2022 10:59:38 AM,5,41.703256441,-87.653712321,POINT (-87.653712320875 41.703256440771)
3220 S WESTERN BLVD,02/20/2022 11:34:43 PM,02/21/2022 11:00:49 AM,3,41.834712343,-87.685075403,POINT (-87.685075402603 41.834712343473)
1000 W 102ND ST,02/17/2022 11:43:03 AM,02/21/2022 11:01:10 AM,43,41.708777844,-87.647872632,POINT (-87.647872631513 41.708777844023)
2361 W SANITARY SHIP CANAL,02/20/2022 12:50:51 PM,02/21/2022 11:01:20 AM,7,41.837798854,-87.685005864,POINT (-87.685005864075 41.837798853775)
3208 S WOLCOTT AVE,02/15/2022 09:15:41 AM,02/21/2022 11:01:51 AM,3,41.835467144,-87.673078511,POINT (-87.673078511011 41.835467143543)
3121 S WESTERN AVE,02/17/2022 02:34:17 PM,02/21/2022 11:02:26 AM,2,41.837390822,-87.683423003,POINT (-87.683423002759 41.837390821834)
3111 S WESTERN AVE,02/20/2022 07:26:08 AM,02/21/2022 11:02:59 AM,2,41.837679751,-87.684399856,POINT (-87.684399856196 41.837679751013)
1600 W 31ST ST,02/17/2022 02:30:20 PM,02/21/2022 11:03:38 AM,6,41.838765489,-87.666008221,POINT (-87.666008220918 41.838765488605)
1700 W 31ST ST,02/17/2022 02:29:48 PM,02/21/2022 11:04:16 AM,5,41.837896564,-87.668177433,POINT (-87.668177432794 41.83789656353)
1806 S WENTWORTH AVE,02/17/2022 09:01:51 AM,02/21/2022 11:04:54 AM,3,41.857573561,-87.632004505,POINT (-87.632004505195 41.857573561048)
1630 S LASALLE ST,02/17/2022 02:20:29 PM,02/21/2022 11:05:34 AM,5,41.859730969,-87.631258739,POINT (-87.631258738856 41.859730969099)
2410 S BLUE ISLAND AVE,02/18/2022 12:11:29 PM,02/21/2022 11:06:11 AM,4,41.848543748,-87.67575331,POINT (-87.675753310253 41.848543747711)
10516 S SANGAMON ST,02/17/2022 11:49:51 AM,02/21/2022 11:06:20 AM,32,41.702643626,-87.646628276,POINT (-87.646628275585 41.702643625606)
3059 S WESTERN AVE,02/19/2022 05:43:33 PM,02/21/2022 11:06:50 AM,1,41.838015673,-87.684944885,POINT (-87.684944884674 41.838015673237)
2317 S WOOD ST,02/17/2022 08:38:16 AM,02/21/2022 11:07:29 AM,2,41.849873279,-87.670756665,POINT (-87.670756665428 41.849873279458)
1226 W 105TH ST,02/16/2022 08:03:24 PM,02/21/2022 11:08:32 AM,24,41.702873428,-87.653242709,POINT (-87.653242708697 41.702873427983)
4220 S CICERO AVE,02/18/2022 01:49:27 PM,02/21/2022 11:10:29 AM,28,41.816290832,-87.744118386,POINT (-87.744118386188 41.816290832051)
4800 W 44TH ST,02/18/2022 09:45:36 PM,02/21/2022 11:10:53 AM,3,41.81310422,-87.743311475,POINT (-87.743311474786 41.813104220195)
4104 S CICERO AVE,02/17/2022 11:50:48 AM,02/21/2022 11:11:19 AM,35,41.818049626,-87.743573769,POINT (-87.743573769178 41.818049625738)
4126 S CICERO AVE,02/17/2022 11:51:33 AM,02/21/2022 11:11:45 AM,17,41.817504454,-87.743545176,POINT (-87.743545175884 41.817504453801)
4400 S CICERO AVE,02/20/2022 03:16:04 PM,02/21/2022 11:12:15 AM,3,41.812758943,-87.743742884,POINT (-87.743742883512 41.812758943205)
4900 S LACROSSE AVE,02/17/2022 02:46:33 PM,02/21/2022 11:12:44 AM,49,41.803780913,-87.744390957,POINT (-87.744390956973 41.803780913393)
4800 S LAMON AVE,02/17/2022 02:47:22 PM,02/21/2022 11:14:14 AM,10,41.805639918,-87.745823821,POINT (-87.745823820977 41.805639918073)
4800 W 49TH ST,02/17/2022 02:45:59 PM,02/21/2022 11:16:31 AM,2,41.804060563,-87.743188904,POINT (-87.743188903995 41.804060563392)
5259 S NEVA AVE,02/16/2022 08:53:00 AM,02/21/2022 11:16:51 AM,7,41.795935584,-87.800110864,POINT (-87.800110863786 41.795935584333)
5300 S NORDICA AVE,02/16/2022 09:14:39 AM,02/21/2022 11:17:43 AM,17,41.795668767,-87.798123423,POINT (-87.798123423196 41.795668766533)
4700 S LAPORTE AVE,02/17/2022 02:59:39 PM,02/21/2022 11:17:59 AM,8,41.807395488,-87.746937627,POINT (-87.746937627489 41.807395488259)
4900 W 48TH ST,02/17/2022 02:58:19 PM,02/21/2022 11:18:44 AM,11,41.805854686,-87.745681514,POINT (-87.745681514112 41.805854685647)
5301 S NOTTINGHAM AVE,02/16/2022 09:12:47 AM,02/21/2022 11:19:04 AM,23,41.79568003,-87.79882593,POINT (-87.798825929628 41.795680029838)
2421 S KOSTNER AVE,02/18/2022 09:52:15 AM,02/21/2022 11:19:22 AM,1,41.847056754,-87.734046534,POINT (-87.734046533506 41.847056753579)
5400 S MEADE AVE,02/17/2022 02:51:40 PM,02/21/2022 11:19:56 AM,9,41.794333234,-87.774672714,POINT (-87.774672714069 41.794333233827)
2563 S KILDARE AVE,02/16/2022 12:46:25 PM,02/21/2022 11:20:04 AM,15,41.844662736,-87.730951891,POINT (-87.730951890536 41.844662735729)
4301 W 25TH PL,02/19/2022 06:56:39 AM,02/21/2022 11:20:38 AM,5,41.845084607,-87.731073377,POINT (-87.731073377218 41.845084607069)
5500 S PARKSIDE AVE,02/17/2022 02:49:01 PM,02/21/2022 11:20:40 AM,8,41.792535026,-87.763642602,POINT (-87.7636426022 41.792535025743)
5530 S MENARD AVE,02/17/2022 02:49:40 PM,02/21/2022 11:21:33 AM,9,41.791703621,-87.767269325,POINT (-87.767269325405 41.791703621153)
3800 W JACKSON BLVD,02/19/2022 05:36:01 PM,02/21/2022 11:23:37 AM,10,41.87723716,-87.720885045,POINT (-87.72088504541 41.877237159635)
508 N HOMAN AVE,02/20/2022 12:02:17 AM,02/21/2022 11:24:46 AM,15,41.890024705,-87.711278324,POINT (-87.711278323996 41.89002470467)
7 S KEDZIE AVE,02/09/2022 08:42:34 AM,02/21/2022 11:25:13 AM,10,41.880980589,-87.706128505,POINT (-87.706128504685 41.880980589393)
3001 W JACKSON BLVD,02/14/2022 10:18:01 AM,02/21/2022 11:25:43 AM,5,41.877384577,-87.701113996,POINT (-87.70111399585 41.877384577187)
344 S SACRAMENTO BLVD,01/31/2022 08:32:07 AM,02/21/2022 11:26:14 AM,10,41.876077772,-87.701203819,POINT (-87.701203819192 41.876077771699)
328 S SACRAMENTO BLVD,01/27/2022 11:27:07 PM,02/21/2022 11:26:46 AM,15,41.876500516,-87.701198127,POINT (-87.701198126674 41.876500516213)
334 S SACRAMENTO BLVD,02/15/2022 08:12:25 AM,02/21/2022 11:27:24 AM,15,41.876342078,-87.701193176,POINT (-87.701193175739 41.876342078285)
36 S SACRAMENTO BLVD,02/17/2022 07:21:26 AM,02/21/2022 11:28:19 AM,40,41.879727163,-87.701173501,POINT (-87.70117350131 41.879727162788)
340 S SACRAMENTO BLVD,02/09/2022 08:45:35 AM,02/21/2022 11:30:57 AM,15,41.875936446,-87.701085674,POINT (-87.701085674444 41.875936446414)
5103 S MAJOR AVE,02/16/2022 05:24:56 AM,02/21/2022 11:40:05 AM,3,41.79984939,-87.764668669,POINT (-87.764668669236 41.799849389827)
5122 S LATROBE AVE,02/17/2022 02:58:55 PM,02/21/2022 11:40:44 AM,15,41.799466857,-87.754220973,POINT (-87.75422097255 41.799466857355)
5210 S LATROBE AVE,02/17/2022 02:52:58 PM,02/21/2022 11:41:20 AM,4,41.797891101,-87.754170201,POINT (-87.754170201307 41.797891101101)
4800 S KOSTNER AVE,02/17/2022 02:43:20 PM,02/21/2022 11:42:09 AM,8,41.805802591,-87.733616981,POINT (-87.733616981308 41.805802591454)
4912 S KILPATRICK AVE,02/17/2022 02:44:59 PM,02/21/2022 11:42:50 AM,2,41.803550824,-87.740866386,POINT (-87.740866386348 41.803550824057)
4900 S KOSTNER AVE,02/17/2022 02:43:52 PM,02/21/2022 11:43:31 AM,10,41.80395991,-87.733557436,POINT (-87.733557435926 41.803959910288)
4800 S KARLOV AVE,02/17/2022 02:39:12 PM,02/21/2022 11:45:31 AM,10,41.805885849,-87.726236969,POINT (-87.726236969293 41.805885849075)
4000 W 48TH ST,02/17/2022 02:39:46 PM,02/21/2022 11:46:14 AM,9,41.80612777,-87.723659011,POINT (-87.723659010559 41.806127770354)
4100 W 48TH ST,02/17/2022 02:40:17 PM,02/21/2022 11:47:03 AM,8,41.806097705,-87.726108123,POINT (-87.726108122691 41.806097704975)
3823 S ALBANY AVE,02/17/2022 12:35:03 PM,02/21/2022 11:52:20 AM,8,41.823755662,-87.7017451,POINT (-87.701745099501 41.823755661618)
2941 W 38TH PL,02/17/2022 12:30:51 PM,02/21/2022 11:52:58 AM,4,41.823418396,-87.698701268,POINT (-87.698701267652 41.823418395518)
3511 S WASHTENAW AVE,02/17/2022 01:03:35 PM,02/21/2022 11:53:34 AM,15,41.829755966,-87.692109391,POINT (-87.692109390902 41.829755966417)
3601 S WASHTENAW AVE,02/17/2022 01:06:02 PM,02/21/2022 11:54:19 AM,6,41.828204596,-87.692055495,POINT (-87.692055495316 41.828204596403)
3613 S WASHTENAW AVE,02/17/2022 01:07:35 PM,02/21/2022 11:55:05 AM,13,41.827883585,-87.692025816,POINT (-87.692025816477 41.827883585007)
2506 W 38TH ST,02/17/2022 01:23:34 PM,02/21/2022 11:55:44 AM,18,41.824958329,-87.687701776,POINT (-87.687701775949 41.824958328648)
3825 S ARCHER AVE,02/17/2022 01:21:16 PM,02/21/2022 11:56:26 AM,3,41.823864444,-87.687912802,POINT (-87.687912801726 41.823864443611)
2529 W 38TH ST,02/17/2022 01:25:35 PM,02/21/2022 11:57:08 AM,4,41.824663275,-87.688423817,POINT (-87.688423817329 41.824663274593)
3100 W 36TH PL,02/17/2022 12:38:46 PM,02/21/2022 11:57:43 AM,68,41.827290924,-87.702331224,POINT (-87.702331223628 41.827290924064)
3643 S ALBANY AVE,02/15/2022 09:28:36 PM,02/21/2022 11:58:32 AM,3,41.826795008,-87.701956688,POINT (-87.701956688309 41.82679500822)
2800 W MARQUETTE RD,02/14/2022 04:49:40 PM,02/21/2022 11:59:27 AM,4,41.771912346,-87.693335972,POINT (-87.693335971696 41.771912346051)
2359 W MARQUETTE RD,02/16/2022 02:31:32 PM,02/21/2022 12:00:15 PM,41,41.771905644,-87.683313347,POINT (-87.683313346867 41.771905643566)
2357 W 62ND ST,02/16/2022 02:31:59 PM,02/21/2022 12:00:59 PM,31,41.780956003,-87.683507053,POINT (-87.683507053036 41.780956002811)
2400 W 63RD ST,02/14/2022 04:50:54 PM,02/21/2022 12:01:36 PM,2,41.779320167,-87.683748081,POINT (-87.683748080844 41.779320167087)
2505 W 62ND ST,02/15/2022 07:34:55 PM,02/21/2022 12:02:16 PM,9,41.780971184,-87.686425617,POINT (-87.686425616774 41.780971184272)
6308 S MAPLEWOOD AVE,02/14/2022 04:04:17 PM,02/21/2022 12:02:57 PM,27,41.779212474,-87.687310981,POINT (-87.687310981336 41.779212474183)
2400 W MARQUETTE RD,02/14/2022 04:47:27 PM,02/21/2022 12:03:43 PM,27,41.772065482,-87.683574681,POINT (-87.683574681263 41.772065481721)
1517 W 54TH ST,02/17/2022 03:05:19 PM,02/21/2022 12:04:20 PM,5,41.795758195,-87.663102245,POINT (-87.66310224544 41.79575819517)
5831 S ABERDEEN ST,02/17/2022 03:08:47 PM,02/21/2022 12:05:01 PM,3,41.787787676,-87.652044472,POINT (-87.652044472213 41.787787675692)
1057 W 59TH ST,02/17/2022 03:08:13 PM,02/21/2022 12:05:41 PM,5,41.786668873,-87.652047355,POINT (-87.652047354713 41.786668872603)
824 W 58TH ST,02/17/2022 03:10:06 PM,02/21/2022 12:06:14 PM,2,41.788920421,-87.64611673,POINT (-87.646116730485 41.788920421271)
1000 W 56TH ST,02/17/2022 03:07:48 PM,02/21/2022 12:06:51 PM,53,41.792504549,-87.650100924,POINT (-87.650100923778 41.792504548793)
1032 W 58TH ST,02/17/2022 03:09:16 PM,02/21/2022 12:07:34 PM,10,41.788847308,-87.651222366,POINT (-87.651222365763 41.78884730758)
1100 W 58TH ST,02/17/2022 03:09:40 PM,02/21/2022 12:08:13 PM,36,41.788828568,-87.652435662,POINT (-87.652435662176 41.78882856798)
5901 S HALSTED ST,02/17/2022 01:59:51 PM,02/21/2022 12:08:46 PM,9,41.787032988,-87.644974343,POINT (-87.64497434283 41.787032987811)
4000 W 81ST ST,02/12/2022 05:47:07 PM,02/21/2022 12:08:51 PM,10,41.745980287,-87.722114051,POINT (-87.722114051225 41.745980287149)
6100 S HALSTED ST,02/14/2022 03:22:12 PM,02/21/2022 12:09:21 PM,12,41.783301888,-87.644990851,POINT (-87.644990850737 41.783301887551)
1221 W GARFIELD BLVD,02/17/2022 03:07:24 PM,02/21/2022 12:09:57 PM,15,41.793602196,-87.655733358,POINT (-87.655733358231 41.793602196073)
4124 W 81ST ST,02/16/2022 11:02:49 AM,02/21/2022 12:10:59 PM,10,41.745917699,-87.725270233,POINT (-87.725270232697 41.74591769882)
4134 W 81ST PL,02/10/2022 07:37:22 PM,02/21/2022 12:21:18 PM,4,41.745186778,-87.724804875,POINT (-87.724804875021 41.745186777858)
4137 W 81ST ST,02/10/2022 07:37:55 PM,02/21/2022 12:22:20 PM,3,41.745644381,-87.725542361,POINT (-87.725542360734 41.745644381195)
5958 S WABASH AVE,02/17/2022 03:14:04 PM,02/21/2022 12:25:23 PM,3,41.785702831,-87.624256728,POINT (-87.624256728396 41.785702831398)
48 E 60TH ST,02/17/2022 03:13:39 PM,02/21/2022 12:26:04 PM,2,41.785649187,-87.623623917,POINT (-87.623623917223 41.785649186995)
75 W 59TH ST,02/17/2022 03:12:08 PM,02/21/2022 12:26:41 PM,22,41.787254207,-87.627424331,POINT (-87.627424331087 41.78725420681)
159 W 59TH ST,02/17/2022 03:11:34 PM,02/21/2022 12:27:19 PM,25,41.7871928,-87.629965318,POINT (-87.629965318201 41.787192800019)
445 E MORGAN DR,02/16/2022 02:12:15 PM,02/21/2022 12:28:00 PM,16,41.794155365,-87.614347576,POINT (-87.614347576175 41.794155364897)
40 E 61ST ST,02/17/2022 03:13:00 PM,02/21/2022 12:28:37 PM,7,41.783825867,-87.624091327,POINT (-87.624091327252 41.783825867453)
6064 S STATE ST,02/17/2022 12:13:05 PM,02/21/2022 12:29:20 PM,15,41.783720621,-87.625422274,POINT (-87.625422274256 41.783720620741)
6102 S WABASH AVE,02/17/2022 03:12:37 PM,02/21/2022 12:36:04 PM,4,41.783515209,-87.623906851,POINT (-87.62390685099 41.783515209348)
532 E 65TH ST,02/17/2022 03:15:29 PM,02/21/2022 12:36:53 PM,8,41.776762881,-87.611824735,POINT (-87.611824735119 41.776762881171)
7550 N CLARK ST,02/14/2022 04:36:37 PM,02/21/2022 12:42:34 PM,7,42.019143826,-87.676492841,POINT (-87.676492840837 42.019143826489)
7345 N ROGERS AVE,02/08/2022 09:25:49 AM,02/21/2022 12:43:41 PM,20,42.014597504,-87.677863208,POINT (-87.677863208337 42.014597503558)
1900 W PRATT BLVD,02/19/2022 10:34:33 AM,02/21/2022 12:44:46 PM,3,42.005341137,-87.678162726,POINT (-87.678162726021 42.005341137201)
1922 W PRATT BLVD,02/12/2022 08:41:10 PM,02/21/2022 12:47:40 PM,9,42.005326375,-87.678892597,POINT (-87.678892597248 42.005326375397)
1600 W PRATT BLVD,02/17/2022 09:47:47 AM,02/21/2022 12:48:44 PM,1,42.005474594,-87.670020234,POINT (-87.670020234282 42.005474594249)
6800 N LAKEWOOD AVE,02/17/2022 09:37:53 AM,02/21/2022 12:49:45 PM,34,42.005626106,-87.663767787,POINT (-87.663767786879 42.005626105965)
6849 W ROSCOE ST,02/15/2022 09:11:39 AM,02/21/2022 12:51:51 PM,49,41.941707292,-87.79779669,POINT (-87.797796690039 41.941707291555)
1300 W PRATT BLVD,02/17/2022 09:39:11 AM,02/21/2022 12:53:25 PM,26,42.005585748,-87.663785941,POINT (-87.663785940507 42.00558574814)
3300 N CENTRAL AVE,02/15/2022 08:50:13 AM,02/21/2022 12:54:08 PM,8,41.940498211,-87.76668335,POINT (-87.76668334991 41.940498210597)
6200 N CENTRAL PARK AVE,01/27/2022 12:24:59 PM,02/21/2022 12:55:26 PM,3,41.993930654,-87.71908394,POINT (-87.719083939518 41.993930653811)
6374 N LINCOLN AVE,02/18/2022 02:35:19 PM,02/21/2022 12:56:43 PM,6,41.997285654,-87.718589782,POINT (-87.718589782033 41.997285654386)
3451 W DEVON AVE,01/21/2022 10:24:53 AM,02/21/2022 12:58:16 PM,5,41.997031465,-87.716527128,POINT (-87.716527127955 41.997031465065)
7001 N WASHTENAW AVE,02/14/2022 01:47:29 PM,02/21/2022 12:59:26 PM,7,42.008607905,-87.697265658,POINT (-87.69726565825 42.008607905086)
6900 N SACRAMENTO AVE,02/08/2022 02:40:15 PM,02/21/2022 01:01:05 PM,1,42.006654908,-87.704680861,POINT (-87.704680860978 42.006654907761)
6942 W OAKDALE AVE,02/16/2022 02:03:58 PM,02/21/2022 01:01:28 PM,19,41.933776171,-87.799698961,POINT (-87.79969896085 41.933776170788)
2658 W LUNT AVE,02/10/2022 09:43:15 PM,02/21/2022 01:02:18 PM,4,42.008605205,-87.697139209,POINT (-87.697139209015 42.008605204875)
3021 N NEWLAND AVE,02/16/2022 01:59:26 PM,02/21/2022 01:02:31 PM,5,41.935117583,-87.79900826,POINT (-87.799008259599 41.935117583227)
2310 N MCVICKER AVE,02/16/2022 10:33:02 AM,02/21/2022 01:03:21 PM,10,41.922387255,-87.777306158,POINT (-87.777306158049 41.922387255162)
2445 N NORDICA AVE,02/16/2022 02:04:14 PM,02/21/2022 01:04:10 PM,15,41.924935503,-87.80227499,POINT (-87.802274989745 41.924935503279)
2850 W TOUHY AVE,02/09/2022 12:17:14 PM,02/21/2022 01:05:39 PM,1,42.012465572,-87.701878642,POINT (-87.701878641728 42.012465571817)
2250 N KENNETH AVE,02/16/2022 02:26:48 PM,02/21/2022 01:05:51 PM,35,41.922233089,-87.738000158,POINT (-87.738000157673 41.922233088561)
2656 W LUNT AVE,02/11/2022 03:10:29 PM,02/21/2022 01:06:59 PM,4,42.008780251,-87.697163335,POINT (-87.697163335146 42.008780250769)
2240 N LAMON AVE,02/17/2022 08:00:03 AM,02/21/2022 01:07:48 PM,12,41.921805637,-87.748988704,POINT (-87.748988704348 41.921805636656)
6643 N WESTERN AVE,02/14/2022 01:48:34 PM,02/21/2022 01:08:09 PM,6,42.002515399,-87.689901708,POINT (-87.68990170796 42.002515399244)
2710 W ALBION AVE,02/18/2022 05:13:34 PM,02/21/2022 01:13:16 PM,15,42.001319185,-87.697804404,POINT (-87.697804403802 42.00131918477)
6554 N ROCKWELL ST,02/18/2022 05:15:28 PM,02/21/2022 01:15:48 PM,28,42.001005964,-87.69496745,POINT (-87.694967449728 42.001005963997)
5401 S JUSTINE ST,02/21/2022 01:16:16 PM,02/21/2022 01:17:29 PM,4,41.79569671,-87.663310448,POINT (-87.66331044814 41.795696709825)
6601 N WESTERN AVE,02/07/2022 02:14:31 PM,02/21/2022 01:21:21 PM,2,42.001559148,-87.689876539,POINT (-87.689876539047 42.001559148003)
6212 S ASHLAND AVE,02/17/2022 08:08:16 AM,02/21/2022 01:22:47 PM,3,41.780938346,-87.664370168,POINT (-87.664370168116 41.780938345859)
944 W 64TH ST,02/15/2022 08:08:43 PM,02/21/2022 01:23:26 PM,11,41.777959496,-87.648958503,POINT (-87.648958502749 41.777959496298)
2234 W ARTHUR AVE,02/01/2022 02:24:26 PM,02/21/2022 01:23:29 PM,8,41.999841929,-87.686487951,POINT (-87.686487951281 41.999841929455)
5532 S RICHMOND ST,02/17/2022 09:36:36 AM,02/21/2022 01:24:33 PM,1,41.792619617,-87.697707562,POINT (-87.697707561943 41.792619616767)
6600 N CALIFORNIA AVE,02/16/2022 02:49:15 PM,02/21/2022 01:24:56 PM,10,42.00139042,-87.699861168,POINT (-87.699861167641 42.001390419754)
5530 S RICHMOND ST,02/16/2022 09:35:17 AM,02/21/2022 01:25:49 PM,2,41.792703271,-87.697708098,POINT (-87.697708097717 41.792703271038)
2957 W DEVON AVE,02/18/2022 02:39:34 PM,02/21/2022 01:27:23 PM,2,41.997330466,-87.704263174,POINT (-87.704263174384 41.997330466019)
600 E 64TH ST,02/17/2022 03:15:57 PM,02/21/2022 01:29:53 PM,5,41.778599708,-87.610645943,POINT (-87.610645943199 41.778599708041)
2401 N DEVON AVE,02/10/2022 09:36:04 AM,02/21/2022 01:29:55 PM,1,41.997737672,-87.689888744,POINT (-87.689888744046 41.997737672228)
519 E 60TH ST,02/17/2022 03:14:34 PM,02/21/2022 01:30:44 PM,10,41.785685501,-87.612501954,POINT (-87.612501954052 41.785685501173)
3112 N KIMBALL AVE,02/15/2022 01:47:27 PM,02/21/2022 01:30:56 PM,4,41.937868116,-87.712723478,POINT (-87.712723478168 41.937868116078)
6306 N WESTERN AVE,02/18/2022 11:15:51 AM,02/21/2022 01:31:07 PM,8,41.996242839,-87.690079047,POINT (-87.690079047479 41.996242839464)
6300 N WESTERN AVE,02/18/2022 11:15:11 AM,02/21/2022 01:32:39 PM,6,41.996030808,-87.690075928,POINT (-87.690075928155 41.996030808496)
3261 W WRIGHTWOOD AVE,02/15/2022 08:42:29 PM,02/21/2022 01:33:44 PM,5,41.927861716,-87.709696398,POINT (-87.709696398204 41.927861715956)
3300 W WRIGHTWOOD AVE,02/15/2022 08:42:01 PM,02/21/2022 01:34:26 PM,6,41.928338957,-87.710867014,POINT (-87.710867013787 41.928338957222)
3300 W BELDEN AVE,02/15/2022 08:03:44 AM,02/21/2022 01:35:39 PM,4,41.92294088,-87.71059178,POINT (-87.710591780082 41.922940879536)
3409 W ALTGELD ST,02/14/2022 02:20:04 PM,02/21/2022 01:36:27 PM,10,41.926354567,-87.712506438,POINT (-87.712506437691 41.926354566858)
4232 W 49TH ST,02/17/2022 02:42:20 PM,02/21/2022 01:36:32 PM,1,41.80422664,-87.729729831,POINT (-87.729729831395 41.804226639581)
4700 S KARLOV AVE,02/17/2022 02:38:32 PM,02/21/2022 01:37:52 PM,37,41.807664332,-87.726142649,POINT (-87.72614264926 41.807664331706)
2423 N BERNARD ST,02/15/2022 01:47:40 PM,02/21/2022 01:38:17 PM,14,41.925439967,-87.713064396,POINT (-87.713064395726 41.925439966994)
4700 N CENTRAL PARK AVE,02/15/2022 01:46:29 PM,02/21/2022 01:40:54 PM,3,41.966717053,-87.718318272,POINT (-87.718318271549 41.966717053338)
3738 N KIMBALL AVE,02/14/2022 02:21:11 PM,02/21/2022 01:42:06 PM,20,41.949589117,-87.712912125,POINT (-87.712912125459 41.94958911684)
4243 W BELDEN AVE,02/15/2022 01:45:28 PM,02/21/2022 01:42:51 PM,14,41.922499411,-87.733320918,POINT (-87.733320917548 41.922499411287)
