Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),
0.285084542,-0.767154694,3.450923767,-0.093135529,,,0.238839917,-0.505349121,0.070802765,0.117925568,,,,0.239603958,-1.00276474,1.010698242,0.37524048,,,,0.239568917,0.095501404,-0.380209351,0.2502504,,,,0.239407958,0.220790863,-0.039517822,0.30847931,
0.295053542,-0.685424652,3.138822784,-0.07547226,,,0.248808917,-0.564326477,0.019309845,0.122715607,,,,0.249572958,-0.881516876,1.105301514,0.22854553,,,,0.249537917,0.137863312,-0.382754059,0.22600082,,,,0.249376958,0.427510986,-0.302071838,0.080952454,
0.305021542,-0.500409393,2.19279007,-0.012602997,,,0.258777917,-0.597856751,-0.05149292,0.073018951,,,,0.259541958,-0.70323761,0.894390106,-0.05780899,,,,0.259505917,0.095651093,-0.341739349,0.21327728,,,,0.259345958,0.514031067,-0.407452698,0.110740509,
0.314989542,-1.178199921,2.315684509,0.112387085,,,0.268746917,-0.64351181,-0.042810974,0.073468018,,,,0.269509958,-0.738264771,0.707279205,-0.036553192,,,,0.269474917,0.052989807,-0.341290283,0.181393585,,,,0.269314958,0.461490326,-0.352367249,0.154449615,
0.324958542,-1.690135345,2.828518066,0.078856812,,,0.278714917,-0.66342041,0.039068756,0.040835876,,,,0.279478958,-0.702638855,0.885408783,-0.012303619,,,,0.279443917,0.056582336,-0.400267639,0.115081482,,,,0.279283958,0.339044952,-0.137264557,0.032004242,
0.334926542,-1.851649475,3.222349091,0.07197113,,,0.288683917,-0.699345703,0.149688721,0.027812958,,,,0.289447958,-0.717008972,0.929117889,0.115081482,,,,0.289412917,-0.015118561,-0.403261414,0.110141754,,,,0.289252958,0.136216736,0.106877747,0.008203735,
0.344895542,-1.904339905,3.480861511,0.155647125,,,0.298652917,-0.768501892,0.223634949,0.044877472,,,,0.299415958,-0.832418976,0.924178162,0.043530273,,,,0.299380917,-0.114511871,-0.390238495,0.076461792,,,,0.299221958,0.024998016,0.240849152,0.037991791,
0.354863542,-1.926493835,3.621568909,0.174657593,,,0.308621917,-0.761017456,0.165106659,0.068378601,,,,0.309384958,-0.916394348,0.941691742,-0.248213043,,,,0.309349917,-0.06780899,-0.388292542,-0.108553467,,,,0.309190958,0.047750702,0.245040436,0.022723541,
0.364831542,-1.999092865,3.39793396,0.126607513,,,0.318590917,-0.70084259,0.027991791,0.053559418,,,,0.319353958,-1.044527893,0.888851624,-0.070233154,,,,0.319318917,-0.007783813,-0.401914215,-0.07771759,,,,0.319159958,0.103734283,0.134869537,0.070923309,
0.374800542,-1.917961578,2.538271637,-0.003022919,,,0.328559917,-0.68572403,-0.127385101,0.055954437,,,,0.329321958,-1.336420898,1.134041748,0.080952454,,,,0.329286917,0.108524323,-0.428109741,-0.030266266,,,,0.329128958,0.186362457,-0.006436615,0.11298584,
0.384768542,-1.786085815,1.643731842,-0.0390979,,,0.338528917,-0.589623871,-0.174087982,-0.043139496,,,,0.339290958,-1.340013428,1.533560944,-0.091938019,,,,0.339255917,0.179626465,-0.342936859,-0.003471985,,,,0.339097958,0.330063629,-0.022602997,0.126906891,
0.394737542,-1.413660278,1.000669098,0.040985565,,,0.348496917,-0.546962585,-0.142054596,-0.123821716,,,,0.349259958,-0.961001587,1.764380951,-0.501186981,,,,0.349224917,0.114960938,-0.208516388,0.093975372,,,,0.349066958,0.433947601,0.042511597,0.168071289,
0.404705542,-1.232387238,0.726289673,0.10355545,,,0.358465917,-0.587977295,-0.078736267,-0.039846344,,,,0.359227958,-0.950223999,1.373244324,-0.217526855,,,,0.359192917,0.065413971,-0.147293701,0.158790588,,,,0.359035958,0.425265656,0.142353973,0.175705414,
0.414673542,-1.521735535,0.659827881,0.127505646,,,0.368434917,-0.568218384,-0.03397934,-0.06604187,,,,0.369196958,-1.398691406,0.990490265,0.46580215,,,,0.369161917,-0.013322296,-0.114362183,0.182142029,,,,0.369004958,0.36389328,0.219892731,0.098016968,
0.424642542,-1.926344147,0.458795929,0.115680237,,,0.378403917,-0.555644531,-0.041314087,-0.063796539,,,,0.379165958,-1.337319031,1.290316772,0.042931519,,,,0.379130917,-0.091609497,-0.111667786,0.105202026,,,,0.378973958,0.26210495,0.213306427,0.087688446,
0.434610542,-2.271825714,0.170196075,0.103854828,,,0.388372917,-0.55579422,-0.090861053,-0.033409729,,,,0.389133958,-1.260528717,1.547481995,-0.207946777,,,,0.389099917,-0.09355545,-0.179925842,-0.029218445,,,,0.388942958,0.245489502,0.131875763,0.022124786,
0.444579542,-2.495460663,0.064815216,0.125709381,,,0.398341917,-0.578546906,-0.088466034,-0.036553192,,,,0.399102958,-1.275946655,1.013692017,0.106399536,,,,0.399067917,-0.118703156,-0.314945068,0.024220428,,,,0.398911958,0.231119385,0.04685257,-0.083256073,
0.454547542,-2.611768799,0.072299652,0.044578094,,,0.408310917,-0.619561615,-0.089513855,-0.004669495,,,,0.409071958,-1.460812225,-0.736169128,0.020328522,,,,0.409036917,-0.068258057,-0.41658371,-0.166782379,,,,0.408881958,0.207917633,0.017214203,-0.024578094,
0.464516542,-2.661615143,-0.472417603,0.6907843,,,0.418278917,-0.575553131,-0.053438873,-0.050324554,,,,0.419039958,-1.711989899,-1.844464417,-0.220670319,,,,0.419005917,-0.010029144,-0.574654999,-0.106906891,,,,0.418850958,0.248932343,0.073347473,0.02871109,
0.474484542,-2.891387329,-0.270038452,0.147713623,,,0.428247917,-0.609083405,0.004191284,-0.020686188,,,,0.429008958,-2.002984772,-2.03247345,-0.178009033,,,,0.428973917,0.047301636,-0.648451538,-0.032062531,,,,0.428819958,0.302071838,0.265847168,0.076312103,
0.484452542,-3.157982941,-0.018860779,0.186782379,,,0.438216917,-0.627794495,0.094453583,0.024519806,,,,0.438977958,-2.083517303,-1.325194244,-1.050694275,,,,0.438942917,0.074994049,-0.543370056,0.023921051,,,,0.438788958,0.270188141,0.483644257,0.22809647,
0.494421542,-3.171903992,0.035326538,1.22622086,,,0.448185917,-0.62839325,0.155526581,0.028262024,,,,0.448945958,-1.778152313,-0.461640015,-1.328516541,,,,0.448911917,0.027692413,-0.396076355,0.134690704,,,,0.448757958,0.280516663,0.517922974,0.30803024,
0.504389542,-2.962938538,-0.154778137,1.25241638,,,0.458154917,-0.621657257,0.050894165,0.038440857,,,,0.458914958,-1.406624908,0.061671753,-1.049945831,,,,0.458879917,-0.011076965,-0.282612305,0.078557434,,,,0.458726958,0.371976471,0.346529388,0.24605911,
0.514358542,-2.693349152,-0.518222351,1.54341125,,,0.468123917,-0.528401184,-0.143850861,-0.076520081,,,,0.468883958,-0.940194855,0.299826508,-0.504180756,,,,0.468848917,-0.020956421,-0.293240204,0.042332764,,,,0.468695958,0.435743866,0.142952728,0.27599686,
0.524326542,-2.44666214,-0.573906555,1.48652954,,,0.478092917,-0.445922699,-0.36389328,-0.109900665,,,,0.478851958,-0.394729157,0.411194916,0.38886215,,,,0.478817917,-0.073497162,-0.399369507,0.075863037,,,,0.478664958,0.442779236,-0.045355682,0.26956024,
0.534294542,-2.337389374,-0.93495575,1.1446405,,,0.488060917,-0.514180756,-0.459244995,-0.033110352,,,,0.488820958,-0.741557922,0.609382782,1.53308273,,,,0.488785917,-0.096399536,-0.472866669,0.057900391,,,,0.488633958,0.451161804,-0.203426971,0.166724091,
0.544263542,-1.927391968,-0.882714386,0.75919205,,,0.498029917,-0.546064453,-0.289647675,-0.247913666,,,,0.498793333,-1.018182678,1.005608826,2.94404861,,,,0.498754917,-0.050744476,-0.511186981,0.019729767,,,,0.498602958,0.458346863,-0.180374908,-0.003022919,
0.554231542,-1.282682648,-0.476309509,0.123314362,,,0.507998917,-0.649948425,-0.114362183,-0.095231171,,,,0.508761333,-1.006057892,1.653461609,3.99441437,,,,0.508723917,-0.010777588,-0.454155579,0.082000275,,,,0.508571958,0.389040985,-0.048199768,0.02047821,
0.564200542,-0.889151001,-0.332458649,-0.218574677,,,0.517967917,-0.674347687,0.090262299,-0.119331055,,,,0.518730333,-1.187480621,2.403851166,3.9303476,,,,0.518692917,-0.022752686,-0.35925293,0.20309845,,,,0.518540958,0.305664368,0.101638641,0.20743942,
0.574168542,-1.206640778,-0.705333252,-0.266624756,,,0.527936917,-0.580193481,0.204325104,-0.127563934,,,,0.528699333,-1.515448608,2.988834686,2.19680252,,,,0.528660917,-0.004490662,-0.324225769,0.24246658,,,,0.528509958,0.278271332,0.309107208,0.26237518,
0.584137542,-1.637594604,-1.001267853,0.070174866,,,0.537905917,-0.563428345,0.207917633,0.086790314,,,,0.538667333,-1.625020752,2.492167511,-0.338175964,,,,0.538629917,0.022303619,-0.385747833,0.24261627,,,,0.538478958,0.319735107,0.50549881,0.26372238,
0.594105542,-1.797911224,-0.928070068,0.37464172,,,0.547874917,-0.603245544,0.258512421,0.20145187,,,,0.548636333,-1.329086151,0.647703095,-0.889180145,,,,0.548598917,0.000598755,-0.489033051,0.26162674,,,,0.548447958,0.322728882,0.567769318,0.35533188,
0.604073542,-1.663341064,-0.803379364,0.30907806,,,0.557842917,-0.576002197,0.286953278,0.183788605,,,,0.558605333,-0.86699707,-1.075663147,-0.193127594,,,,0.558566917,-0.039068756,-0.550106049,0.138432922,,,,0.558416958,0.282911682,0.473166046,0.31296997,
0.614042542,-1.244811401,-0.611478424,-0.058856812,,,0.567811917,-0.611777802,0.176033936,0.31057495,,,,0.568573333,-0.535586243,-1.845961304,0.093825684,,,,0.568535917,-0.103135529,-0.525108032,0.026615448,,,,0.568385958,0.232765961,0.331560516,0.35578094,
0.624010542,-0.319585419,-0.026644592,-0.226059113,,,0.577780917,-0.581989746,0.075443115,0.25309448,,,,0.578542333,-0.287102966,-1.64627655,-0.409128418,,,,0.578504917,-0.140707398,-0.461190949,-0.008860779,,,,0.578354958,0.177081757,0.092956696,0.41101608,
0.633979542,0.422870636,0.581989746,0.43796005,,,0.587749917,-0.522862701,-0.0199086,0.137983856,,,,0.588511333,0.156424713,-1.115929413,-1.31803833,,,,0.588472917,-0.072299652,-0.418829041,0.023172607,,,,0.588323958,0.152383118,-0.160915375,0.30279114,
0.643947542,0.616567841,0.788260803,1.90281387,,,0.597718917,-0.505049744,-0.163609772,0.174807281,,,,0.598479333,0.51013916,-0.825682983,-2.201201782,,,,0.598441917,-0.015867004,-0.396824799,0.038740234,,,,0.598292958,0.150137787,-0.281265106,0.177801056,
0.653915542,-0.038020935,0.278720398,3.213638,,,0.607687917,-0.475860443,-0.223784638,0.153551483,,,,0.608448333,0.743354187,-0.773890686,-1.878023834,,,,0.608410917,0.005089417,-0.400417328,0.042033386,,,,0.608261958,0.116457825,-0.262703705,0.126607513,
0.663884542,-0.892444153,-0.677640839,3.75356522,,,0.617656917,-0.455951843,-0.160615997,0.011646576,,,,0.618417333,1.005309448,-0.47391449,-0.686950684,,,,0.618379917,0.015118561,-0.336500244,0.077210236,,,,0.618230958,0.069904633,-0.268391876,0.070623932,
0.673852542,-1.065334625,-1.308578796,2.94659332,,,0.627624917,-0.474812622,-0.117954712,0.0697258,,,,0.628385333,1.287921753,0.322130127,0.44604324,,,,0.628347917,-0.06436615,-0.192050629,0.161634674,,,,0.628199958,0.054486694,-0.324225769,0.024669495,
0.683821542,-0.7020401,-1.379980316,1.29747269,,,0.637593917,-0.473465424,-0.112715607,0.147114868,,,,0.638354333,1.066981201,1.232985992,1.43518631,,,,0.638316917,-0.108674011,-0.099093933,0.156844635,,,,0.638168958,0.064815216,-0.448317719,0.005509338,
0.693789542,0.219743042,-1.135538635,0.028262024,,,0.647562917,-0.466130676,-0.151335297,0.169568176,,,,0.648323333,0.674796753,2.045795746,1.5109288,,,,0.648285917,-0.104482727,-0.070503387,0.140528564,,,,0.648137958,0.119451599,-0.59561142,-0.047779846,
0.703757542,1.197809143,-1.327140198,-0.305843201,,,0.657531917,-0.469124451,-0.159418488,0.139480743,,,,0.658291333,0.185015259,2.369273071,0.88762497,,,,0.658253917,-0.06780899,-0.11346405,0.20893631,,,,0.658106958,0.182620239,-0.652792511,-0.175614014,
0.713726542,1.951042786,-1.4239888,-0.023380585,,,0.667500917,-0.577948151,-0.020357666,0.143821716,,,,0.668260333,-0.282761993,1.846859436,0.041135254,,,,0.668222917,0.001646576,-0.155975647,0.23453308,,,,0.668075958,0.186661835,-0.467328186,-0.279198608,
0.723694542,2.07573349,-1.265019379,0.43960663,,,0.677469917,-0.725092163,0.191751251,0.168520355,,,,0.678229333,-0.135019226,0.95710968,-0.13744339,,,,0.678191917,0.088166656,-0.274529114,0.2502504,,,,0.678044458,0.073646851,-0.105979614,-0.294766235,
0.733663542,1.891466675,-0.574056244,1.19269058,,,0.687438917,-0.745749207,0.257165222,0.31596375,,,,0.688197333,0.170645142,0.396375732,-0.251805573,,,,0.688159917,0.168699188,-0.404608612,0.21986359,,,,0.688013458,-0.024249573,0.304017792,-0.193277283,
0.743631542,1.591191101,0.753832398,1.36513199,,,0.697406917,-0.635278931,0.144599304,0.34200958,,,,0.698166333,0.215851135,0.017663269,-0.062898407,,,,0.698128917,0.187709656,-0.384849701,0.153551483,,,,0.697982458,0.03622467,0.604742432,-0.219622498,
0.753600542,1.864373016,2.034868469,1.06006638,,,0.707375917,-0.438887329,-0.009580078,0.174208527,,,,0.708135333,0.010328522,0.050145721,0.56594391,,,,0.708097917,0.155526581,-0.328866119,0.11298584,,,,0.707951458,0.177081757,0.698148193,-0.128162689,
0.763568542,2.961591339,2.654729462,1.04330124,,,0.717344917,-0.378113709,-0.161364441,0.148462067,,,,0.718103333,-0.149239655,0.659827881,0.41969803,,,,0.718066917,0.170196075,-0.24459137,0.006706848,,,,0.717920458,0.334554291,0.591420136,-0.112595062,
0.773536542,3.402125244,2.627186737,0.53959869,,,0.727313917,-0.364342346,-0.19190094,0.031704865,,,,0.728072333,0.130079498,1.087937622,-0.195672302,,,,0.728034917,0.138013001,-0.20357666,-0.012303619,,,,0.727889458,0.496966553,0.366437988,-0.168878021,
0.783505542,3.195255432,2.083666992,0.074964905,,,0.737282958,-0.413140869,-0.080981598,-0.058258057,,,,0.738041333,0.447269898,0.837358704,-0.261235962,,,,0.738003917,0.161963196,-0.288300476,0.093526306,,,,0.737858458,0.596958618,0.216000824,-0.180254364,
0.793473542,2.893333282,1.465153198,-0.175464325,,,0.747251958,-0.522563324,-0.014220428,0.034399261,,,,0.748009333,0.287552033,0.025147705,-0.27201355,,,,0.747972917,0.261506195,-0.349523163,0.119721832,,,,0.747827458,0.542471924,0.240699463,-0.129809265,
0.803442542,2.54725296,1.299447784,-0.999351044,,,0.757220958,-0.605939941,-0.117954712,0.194566193,,,,0.757978333,0.214204559,-0.621507568,-0.292071838,,,,0.757940917,0.255368958,-0.285306702,0.163580627,,,,0.757796458,0.339643707,0.402063904,-0.122025452,
0.813410542,2.649190979,1.607507172,0.028262024,,,0.767188958,-0.54756134,-0.210462341,0.161484985,,,,0.767947333,0.275576935,-0.778231659,-0.222915649,,,,0.767909917,0.230370941,-0.278870087,0.2170195,,,,0.767765458,0.139809265,0.541573792,0.006407471,
0.823378542,2.892135773,1.977537689,-0.305843201,,,0.777157958,-0.461340637,-0.195044403,0.139780121,,,,0.777915333,0.184416504,-0.447269898,0.046673737,,,,0.777878917,0.225730591,-0.275876312,0.182740784,,,,0.777734458,0.134121094,0.611179047,0.06029541,
0.833347542,3.027903442,2.252815247,-0.023380585,,,0.787126958,-0.413140869,-0.049996033,0.070174866,,,,0.787884333,-0.129181366,0.148341522,-0.20300705,,,,0.787846917,0.106877747,-0.189356232,0.136486969,,,,0.787703458,0.240549774,0.540376282,-0.004519806,
0.843315542,3.453468475,2.217189331,0.43960663,,,0.797095958,-0.385448456,0.113913117,-0.023829651,,,,0.797853333,-0.340092773,0.440234528,-0.236537323,,,,0.797815917,-0.013621674,-0.134719849,0.115829926,,,,0.797672458,0.367036743,0.366138611,-0.037301636,
0.853284542,3.911515961,2.013013916,0.028262024,,,0.807064958,-0.387843475,0.126187592,0.125559692,,,,0.807821333,-0.252075806,0.223934326,0.098466034,,,,0.807784917,-0.007185059,-0.130079498,0.119721832,,,,0.807641458,0.419427795,0.175734558,0.11762619,
0.863252542,4.1830513,1.786534882,-0.305843201,,,0.817033958,-0.437689819,0.046104126,0.26237518,,,,0.817790333,-0.19654129,-0.193697205,0.19486557,,,,0.817753917,0.051941986,-0.136516113,0.191123352,,,,0.817610458,0.471669159,0.049846344,0.160137787,
0.873221542,4.230053558,1.810934143,-0.023380585,,,0.827002958,-0.521665192,-0.063617706,0.29740234,,,,0.827759333,-0.404159546,-0.313298492,0.068378601,,,,0.827721917,0.092956696,-0.160466309,0.35997223,,,,0.827579458,0.511486359,0.049996033,0.142324829,
0.883189542,3.928430786,1.635349274,0.43960663,,,0.836970958,-0.554147644,-0.157472534,0.193368683,,,,0.837727333,-0.493074646,-0.01047821,0.48466293,,,,0.837690917,0.125888214,-0.162711639,0.35832565,,,,0.837548458,0.461490326,0.161663818,0.149809265,
0.893157542,3.533551941,1.191971283,1.19269058,,,0.846939958,-0.580941925,-0.227077789,0.186782379,,,,0.847696333,-0.438438263,0.492176514,0.65216461,,,,0.847659917,0.15567627,-0.139509888,0.26581802,,,,0.847517458,0.357606354,0.237556,0.27464966,
0.903126542,3.639681244,0.848585358,-3.636417236,,,0.856908958,-0.569116516,-0.178129578,-0.006914825,,,,0.857664333,-0.51373169,0.45400589,1.10572144,,,,0.857627917,0.177979889,-0.097297668,0.143522339,,,,0.857486458,0.315693512,0.275277557,0.34754807,
0.913094542,4.063150635,0.801283722,-2.309277039,,,0.866877958,-0.558787994,-0.103135529,-0.237285767,,,,0.867633333,-0.448467407,0.289797363,1.17308136,,,,0.867596917,0.102686462,-0.062719574,-0.053468018,,,,0.867455458,0.249531097,0.367785187,0.2688118,
0.923063542,4.167034607,1.128952332,-1.188407898,,,0.876846958,-0.488583984,-0.150736542,-0.154807281,,,,0.877602333,-0.385598145,0.369431763,0.7532045,,,,0.877565917,0.044008484,-0.128881989,0.085592804,,,,0.877425458,0.197140045,0.402662659,0.34081207,
0.933031542,3.902834015,1.545985107,-0.386525421,,,0.886815958,-0.405955811,-0.201780396,0.065684204,,,,0.887570333,-0.464334412,0.304915924,0.38706589,,,,0.887533917,0.110320587,-0.204325104,0.194117126,,,,0.887394458,0.220341797,0.274229736,0.30219238,
0.942999542,3.527564392,1.94355835,0.075264282,,,0.896784958,-0.449664917,-0.136067047,0.128104401,,,,0.897539333,-0.495020599,0.015417938,0.34605118,,,,0.897502917,0.130229187,-0.164058838,0.24186783,,,,0.897363458,0.266595612,-0.035925293,0.34590149,
0.952968542,3.252286835,1.940115509,0.100561676,,,0.906752958,-0.582289124,-0.07723938,0.21193008,,,,0.907508333,-0.077838135,-0.36045044,0.30039612,,,,0.907471917,0.091160431,-0.073946228,0.23677841,,,,0.907332458,0.365839233,-0.233813782,0.36087036,
0.962936542,3.58399704,1.065035248,-0.205551758,,,0.916721958,-0.65997757,-0.034578094,0.20235001,,,,0.917477333,0.685424652,-0.931812286,-0.542052002,,,,0.917440917,0.025896149,-0.004939728,0.24261627,,,,0.917301458,0.5043013,-0.193846893,0.34395554,
0.972905542,4.412673798,-0.140557709,-0.410924683,,,0.926690958,-0.658181305,-0.001496887,0.165975647,,,,0.927445333,0.376317444,-1.676962738,-1.019409332,,,,0.927408917,-0.060623932,0.035775604,0.20818787,,,,0.927270458,0.526155853,0.000598755,0.27509872,
0.982873542,5.132975922,-1.462159424,-0.222466583,,,0.936659958,-0.600551148,-0.022453308,0.174807281,,,,0.937414333,0.052540741,-1.888622589,-0.131904907,,,,0.937377917,-0.10178833,0.099542999,0.064636383,,,,0.937239458,0.438887329,0.214354248,0.27000931,
0.992841542,5.366939392,-2.597248993,-0.347157288,,,0.946628958,-0.481099548,-0.079335022,0.2050444,,,,0.947382333,-0.075443115,-1.182391205,0.127954712,,,,0.947346917,-0.072000275,0.099542999,-0.015447083,,,,0.947208458,0.359402618,0.379610596,0.24920258,
1.002810542,5.285209351,-3.474873962,-1.027941589,,,0.956597958,-0.353864136,-0.083975372,0.168220978,,,,0.957351333,-0.552650757,-0.291144562,0.27988876,,,,0.957314917,-0.036074982,-0.019160156,0.159089966,,,,0.957177458,0.353115692,0.400866394,0.29919861,
